시도,시군구,E9_총계,연도,월
강원도,강릉시,83,2009,6
강원도,고성군,22,2009,6
강원도,동해시,38,2009,6
강원도,삼척시,64,2009,6
강원도,속초시,39,2009,6
강원도,양구군,40,2009,6
강원도,양양군,45,2009,6
강원도,영월군,31,2009,6
강원도,원주시,413,2009,6
강원도,인제군,59,2009,6
강원도,정선군,26,2009,6
강원도,철원군,81,2009,6
강원도,춘천시,197,2009,6
강원도,태백시,73,2009,6
강원도,평창군,76,2009,6
강원도,홍천군,161,2009,6
강원도,화천군,32,2009,6
강원도,횡성군,144,2009,6
경기도,가평군,108,2009,6
경기도,고양시 덕양구,578,2009,6
경기도,고양시 일산동구,1247,2009,6
경기도,고양시 일산서구,502,2009,6
경기도,과천시,8,2009,6
경기도,광명시,188,2009,6
경기도,광주시,5427,2009,6
경기도,구리시,143,2009,6
경기도,군포시,981,2009,6
경기도,김포시,7138,2009,6
경기도,남양주시,2268,2009,6
경기도,동두천시,513,2009,6
경기도,부천시 소사구,166,2009,6
경기도,부천시 오정구,1343,2009,6
경기도,부천시 원미구,1325,2009,6
경기도,성남시 분당구,264,2009,6
경기도,성남시 수정구,231,2009,6
경기도,성남시 중원구,304,2009,6
경기도,수원시 권선구,277,2009,6
경기도,수원시 영통구,398,2009,6
경기도,수원시 장안구,92,2009,6
경기도,수원시 팔달구,148,2009,6
경기도,시흥시,5975,2009,6
경기도,안산시 단원구,6118,2009,6
경기도,안산시 상록구,473,2009,6
경기도,안성시,2422,2009,6
경기도,안양시 동안구,221,2009,6
경기도,안양시 만안구,292,2009,6
경기도,양주시,4470,2009,6
경기도,양평군,302,2009,6
경기도,여주군,1056,2009,6
경기도,연천군,298,2009,6
경기도,오산시,388,2009,6
경기도,용인시,52,2009,6
경기도,용인시 기흥구,468,2009,6
경기도,용인시 수지구,188,2009,6
경기도,용인시 처인구,2953,2009,6
경기도,의왕시,276,2009,6
경기도,의정부시,389,2009,6
경기도,이천시,1859,2009,6
경기도,파주시,4141,2009,6
경기도,평택시,3679,2009,6
경기도,포천시,5903,2009,6
경기도,하남시,636,2009,6
경기도,화성시,9889,2009,6
경상남도,거제시,3025,2009,6
경상남도,거창군,35,2009,6
경상남도,고성군,797,2009,6
경상남도,김해시,7811,2009,6
경상남도,남해군,158,2009,6
경상남도,마산시,751,2009,6
경상남도,밀양시,278,2009,6
경상남도,사천시,647,2009,6
경상남도,산청군,55,2009,6
경상남도,양산시,1650,2009,6
경상남도,의령군,201,2009,6
경상남도,진주시,946,2009,6
경상남도,진해시,1279,2009,6
경상남도,창녕군,394,2009,6
경상남도,창원시,2560,2009,6
경상남도,통영시,1200,2009,6
경상남도,하동군,21,2009,6
경상남도,함안군,1480,2009,6
경상남도,함양군,120,2009,6
경상남도,합천군,87,2009,6
경상북도,경산시,1193,2009,6
경상북도,경주시,2146,2009,6
경상북도,고령군,635,2009,6
경상북도,구미시,1830,2009,6
경상북도,군위군,230,2009,6
경상북도,김천시,493,2009,6
경상북도,문경시,84,2009,6
경상북도,봉화군,45,2009,6
경상북도,상주시,160,2009,6
경상북도,성주군,524,2009,6
경상북도,안동시,207,2009,6
경상북도,영덕군,89,2009,6
경상북도,영양군,7,2009,6
경상북도,영주시,40,2009,6
경상북도,영천시,864,2009,6
경상북도,예천군,94,2009,6
경상북도,울릉군,19,2009,6
경상북도,울진군,142,2009,6
경상북도,의성군,146,2009,6
경상북도,청도군,123,2009,6
경상북도,청송군,7,2009,6
경상북도,칠곡군,1467,2009,6
경상북도,포항시 남구,506,2009,6
경상북도,포항시 북구,224,2009,6
광주광역시,광산구,2211,2009,6
광주광역시,남구,7,2009,6
광주광역시,동구,6,2009,6
광주광역시,북구,249,2009,6
광주광역시,서구,50,2009,6
대구광역시,남구,1,2009,6
대구광역시,달서구,1988,2009,6
