sido,sigungu,yyyymm,value,year,month
강원도,강릉시,200906,83,2009,6
강원도,강릉시,200912,94,2009,12
강원도,강릉시,201006,105,2010,6
강원도,강릉시,201012,120,2010,12
강원도,강릉시,201106,127,2011,6
강원도,강릉시,201112,146,2011,12
강원도,강릉시,201206,146,2012,6
강원도,강릉시,201212,142,2012,12
강원도,강릉시,201303,294,2013,3
강원도,강릉시,201306,151,2013,6
강원도,강릉시,201309,147,2013,9
강원도,강릉시,201312,156,2013,12
강원도,강릉시,201403,149,2014,3
강원도,강릉시,201406,167,2014,6
강원도,강릉시,201409,178,2014,9
강원도,강릉시,201412,189,2014,12
강원도,강릉시,201503,183,2015,3
강원도,강릉시,201506,202,2015,6
강원도,강릉시,201509,246,2015,9
강원도,강릉시,201512,258,2015,12
강원도,강릉시,201603,283,2016,3
강원도,강릉시,201606,329,2016,6
강원도,강릉시,201609,350,2016,9
강원도,강릉시,201612,309,2016,12
강원도,강릉시,201703,274,2017,3
강원도,강릉시,201706,253,2017,6
강원도,강릉시,201709,270,2017,9
강원도,강릉시,201712,259,2017,12
강원도,강릉시,201803,245,2018,3
강원도,강릉시,201806,278,2018,6
강원도,강릉시,201809,286,2018,9
강원도,강릉시,201812,295,2018,12
강원도,강릉시,201903,305,2019,3
강원도,강릉시,201906,315,2019,6
강원도,강릉시,201909,333,2019,9
강원도,강릉시,201912,348,2019,12
강원도,강릉시,202003,350,2020,3
강원도,강릉시,202006,346,2020,6
강원도,강릉시,202009,343,2020,9
강원도,강릉시,202012,325,2020,12
강원도,강릉시,202103,309,2021,3
강원도,강릉시,202106,305,2021,6
강원도,강릉시,202109,306,2021,9
강원도,강릉시,202112,309,2021,12
강원도,강릉시,202203,313,2022,3
강원도,강릉시,202206,327,2022,6
강원도,강릉시,202209,372,2022,9
강원도,강릉시,202212,418,2022,12
강원도,강릉시,202303,423,2023,3
강원도,고성군,200906,22,2009,6
강원도,고성군,200912,31,2009,12
강원도,고성군,201006,39,2010,6
강원도,고성군,201012,46,2010,12
강원도,고성군,201106,38,2011,6
강원도,고성군,201112,59,2011,12
강원도,고성군,201206,65,2012,6
강원도,고성군,201212,72,2012,12
강원도,고성군,201303,142,2013,3
강원도,고성군,201306,78,2013,6
강원도,고성군,201309,81,2013,9
강원도,고성군,201312,74,2013,12
강원도,고성군,201403,72,2014,3
강원도,고성군,201406,83,2014,6
강원도,고성군,201409,83,2014,9
강원도,고성군,201412,89,2014,12
강원도,고성군,201503,88,2015,3
강원도,고성군,201506,99,2015,6
강원도,고성군,201509,94,2015,9
강원도,고성군,201512,100,2015,12
강원도,고성군,201603,98,2016,3
강원도,고성군,201606,102,2016,6
강원도,고성군,201609,101,2016,9
강원도,고성군,201612,104,2016,12
강원도,고성군,201703,102,2017,3
