"node_index","sgg_code"
1,"11010"
2,"11020"
3,"11030"
4,"11040"
5,"11050"
6,"11060"
7,"11070"
8,"11080"
9,"11090"
10,"11100"
11,"11110"
12,"11120"
13,"11130"
14,"11140"
15,"11150"
16,"11160"
17,"11170"
18,"11180"
19,"11190"
20,"11200"
21,"11210"
22,"11220"
23,"11230"
24,"11240"
25,"11250"
26,"21010"
27,"21020"
28,"21030"
29,"21040"
30,"21050"
31,"21060"
32,"21070"
33,"21080"
34,"21090"
35,"21100"
36,"21110"
37,"21120"
38,"21130"
39,"21140"
40,"21150"
41,"21510"
42,"22010"
43,"22020"
44,"22030"
45,"22040"
46,"22050"
47,"22060"
48,"22070"
49,"22510"
50,"22520"
51,"23010"
52,"23020"
53,"23040"
54,"23050"
55,"23060"
56,"23070"
57,"23080"
58,"23090"
59,"23510"
60,"23520"
61,"24010"
62,"24020"
63,"24030"
64,"24040"
65,"24050"
66,"25010"
67,"25020"
68,"25030"
69,"25040"
70,"25050"
71,"26010"
72,"26020"
73,"26030"
74,"26040"
75,"26510"
76,"29010"
77,"31010"
78,"31020"
79,"31030"
80,"31040"
81,"31050"
82,"31060"
83,"31070"
84,"31080"
85,"31090"
86,"31100"
87,"31110"
88,"31120"
89,"31130"
90,"31140"
91,"31150"
92,"31160"
93,"31170"
94,"31180"
95,"31190"
96,"31200"
97,"31210"
98,"31220"
99,"31230"
100,"31240"
101,"31250"
102,"31260"
103,"31270"
104,"31280"
105,"31550"
106,"31570"
107,"31580"
108,"32010"
109,"32020"
110,"32030"
111,"32040"
112,"32050"
113,"32060"
114,"32070"
115,"32510"
116,"32520"
117,"32530"
118,"32540"
119,"32550"
120,"32560"
121,"32570"
122,"32580"
123,"32590"
124,"32600"
125,"32610"
126,"33020"
127,"33030"
128,"33040"
129,"33520"
130,"33530"
131,"33540"
132,"33550"
133,"33560"
134,"33570"
135,"33580"
136,"33590"
137,"34010"
138,"34020"
139,"34030"
140,"34040"
141,"34050"
142,"34060"
143,"34070"
144,"34080"
145,"34510"
146,"34530"
147,"34540"
148,"34550"
149,"34560"
150,"34570"
151,"34580"
152,"35010"
153,"35020"
154,"35030"
155,"35040"
156,"35050"
157,"35060"
158,"35510"
159,"35520"
160,"35530"
161,"35540"
162,"35550"
163,"35560"
164,"35570"
165,"35580"
166,"36010"
167,"36020"
168,"36030"
169,"36040"
170,"36060"
171,"36510"
172,"36520"
173,"36530"
174,"36550"
175,"36560"
176,"36570"
177,"36580"
178,"36590"
179,"36600"
180,"36610"
181,"36620"
182,"36630"
183,"36640"
184,"36650"
185,"36660"
186,"36670"
187,"36680"
188,"37010"
189,"37020"
190,"37030"
191,"37040"
192,"37050"
193,"37060"
194,"37070"
195,"37080"
196,"37090"
197,"37100"
198,"37520"
199,"37530"
200,"37540"
201,"37550"
202,"37560"
203,"37570"
204,"37580"
205,"37590"
206,"37600"
207,"37610"
208,"37620"
209,"37630"
210,"38030"
211,"38050"
212,"38060"
213,"38070"
214,"38080"
215,"38090"
216,"38100"
217,"38110"
218,"38510"
219,"38520"
220,"38530"
221,"38540"
222,"38550"
223,"38560"
224,"38570"
225,"38580"
226,"38590"
227,"38600"
228,"39010"
229,"39020"
