time,region,export_cnt,export_val,import_cnt,import_val,trade_balance,year,month,file_year
2008-01-01,강원특별자치도 강릉시,112,6933,193,15935,-9002,2008,1,2008
2008-01-01,서울특별시 종로구,2946,51227,7607,361716,-310489,2008,1,2008
2008-01-01,서울특별시 중구,15779,380111,19605,619854,-239743,2008,1,2008
2008-01-01,서울특별시 중랑구,588,17271,1174,26025,-8753,2008,1,2008
2008-01-01,세종특별자치시,723,24972,598,23898,1074,2008,1,2008
2008-01-01,울산광역시 남구,8076,1791364,2374,3216333,-1424969,2008,1,2008
2008-01-01,울산광역시 동구,1531,619201,3647,323761,295440,2008,1,2008
2008-01-01,울산광역시 북구,4524,1447960,1893,128890,1319071,2008,1,2008
2008-01-01,울산광역시 울주군,3095,1381375,1949,2429379,-1048004,2008,1,2008
2008-01-01,울산광역시 중구,70,4397,203,7447,-3050,2008,1,2008
2008-01-01,인천광역시 강화군,44,601,42,876,-276,2008,1,2008
2008-01-01,인천광역시 계양구,3114,79519,1853,56239,23280,2008,1,2008
2008-01-01,서울특별시 은평구,329,5829,1070,17987,-12157,2008,1,2008
2008-01-01,인천광역시 남동구,8603,222482,5526,1068843,-846361,2008,1,2008
2008-01-01,인천광역시 미추홀구,1561,51544,1741,86060,-34516,2008,1,2008
2008-01-01,인천광역시 부평구,4494,720506,4483,208461,512045,2008,1,2008
2008-01-01,인천광역시 서구,4652,220278,4475,762961,-542684,2008,1,2008
2008-01-01,인천광역시 연수구,350,15202,639,38299,-23098,2008,1,2008
2008-01-01,인천광역시 옹진군,0,0,14,17671,-17671,2008,1,2008
2008-01-01,인천광역시 중구,3542,86452,3816,247245,-160793,2008,1,2008
2008-01-01,전라남도 강진군,6,176,10,1430,-1255,2008,1,2008
2008-01-01,전라남도 고흥군,64,1931,17,283,1648,2008,1,2008
2008-01-01,전라남도 곡성군,19,370,60,2857,-2487,2008,1,2008
2008-01-01,전라남도 광양시,1329,273415,531,478652,-205237,2008,1,2008
2008-01-01,전라남도 구례군,0,0,3,1,-1,2008,1,2008
2008-01-01,인천광역시 동구,1976,288389,2637,179714,108675,2008,1,2008
2008-01-01,서울특별시 용산구,2324,34172,9163,513779,-479607,2008,1,2008
2008-01-01,서울특별시 영등포구,15838,874931,32224,1349513,-474582,2008,1,2008
2008-01-01,서울특별시 양천구,1197,22440,2734,60411,-37972,2008,1,2008
2008-01-01,부산광역시 사하구,3649,88182,2864,198708,-110525,2008,1,2008
2008-01-01,부산광역시 서구,792,35337,1915,81553,-46216,2008,1,2008
2008-01-01,부산광역시 수영구,473,16473,616,17677,-1203,2008,1,2008
2008-01-01,부산광역시 연제구,351,7043,482,18264,-11220,2008,1,2008
2008-01-01,부산광역시 영도구,1700,139909,846,38320,101590,2008,1,2008
