sido_name,sigungu,year,month,total,male,female,yyyymm
강원특별자치도,강릉시,2008,12,218399.0,108842.0,109557.0,200812
강원특별자치도,강릉시,2009,12,217464.0,108146.0,109318.0,200912
강원특별자치도,강릉시,2010,12,218503.0,108613.0,109890.0,201012
강원특별자치도,강릉시,2011,1,218499.0,108647.0,109852.0,201101
강원특별자치도,강릉시,2011,2,218420.0,108612.0,109808.0,201102
강원특별자치도,강릉시,2011,3,218048.0,108421.0,109627.0,201103
강원특별자치도,강릉시,2011,4,217908.0,108315.0,109593.0,201104
강원특별자치도,강릉시,2011,5,217914.0,108313.0,109601.0,201105
강원특별자치도,강릉시,2011,6,217909.0,108283.0,109626.0,201106
강원특별자치도,강릉시,2011,7,217872.0,108289.0,109583.0,201107
강원특별자치도,강릉시,2011,8,217944.0,108413.0,109531.0,201108
강원특별자치도,강릉시,2011,9,217926.0,108457.0,109469.0,201109
강원특별자치도,강릉시,2011,10,217860.0,108419.0,109441.0,201110
강원특별자치도,강릉시,2011,11,217775.0,108371.0,109404.0,201111
강원특별자치도,강릉시,2011,12,217571.0,108294.0,109277.0,201112
강원특별자치도,강릉시,2012,1,217614.0,108314.0,109300.0,201201
강원특별자치도,강릉시,2012,2,217494.0,108259.0,109235.0,201202
강원특별자치도,강릉시,2012,3,217986.0,108608.0,109378.0,201203
강원특별자치도,강릉시,2012,4,217925.0,108586.0,109339.0,201204
강원특별자치도,강릉시,2012,5,217769.0,108516.0,109253.0,201205
강원특별자치도,강릉시,2012,6,217744.0,108483.0,109261.0,201206
강원특별자치도,강릉시,2012,7,217677.0,108410.0,109267.0,201207
강원특별자치도,강릉시,2012,8,217706.0,108407.0,109299.0,201208
강원특별자치도,강릉시,2012,9,217813.0,108453.0,109360.0,201209
강원특별자치도,강릉시,2012,10,217942.0,108461.0,109481.0,201210
강원특별자치도,강릉시,2012,11,217952.0,108445.0,109507.0,201211
강원특별자치도,강릉시,2012,12,217741.0,108318.0,109423.0,201212
강원특별자치도,강릉시,2013,1,217517.0,108192.0,109325.0,201301
강원특별자치도,강릉시,2013,2,217203.0,108076.0,109127.0,201302
강원특별자치도,강릉시,2013,3,217216.0,108067.0,109149.0,201303
강원특별자치도,강릉시,2013,4,217342.0,108105.0,109237.0,201304
강원특별자치도,강릉시,2013,5,217213.0,108009.0,109204.0,201305
강원특별자치도,강릉시,2013,6,217031.0,107911.0,109120.0,201306
강원특별자치도,강릉시,2013,7,216982.0,107870.0,109112.0,201307
강원특별자치도,강릉시,2013,8,216907.0,107783.0,109124.0,201308
강원특별자치도,강릉시,2013,9,216979.0,107837.0,109142.0,201309
강원특별자치도,강릉시,2013,10,216996.0,107822.0,109174.0,201310
강원특별자치도,강릉시,2013,11,216914.0,107785.0,109129.0,201311
강원특별자치도,강릉시,2013,12,216806.0,107689.0,109117.0,201312
강원특별자치도,강릉시,2014,1,216558.0,107578.0,108980.0,201401
강원특별자치도,강릉시,2014,2,216257.0,107376.0,108881.0,201402
강원특별자치도,강릉시,2014,3,216345.0,107491.0,108854.0,201403
강원특별자치도,강릉시,2014,4,216268.0,107456.0,108812.0,201404
강원특별자치도,강릉시,2014,5,216157.0,107402.0,108755.0,201405
강원특별자치도,강릉시,2014,6,215982.0,107299.0,108683.0,201406
강원특별자치도,강릉시,2014,7,215824.0,107209.0,108615.0,201407
