sido,sigungu,year
강원특별자치도,강릉시,2008
강원특별자치도,강릉시,2009
강원특별자치도,강릉시,2010
강원특별자치도,강릉시,2011
강원특별자치도,강릉시,2012
강원특별자치도,강릉시,2013
강원특별자치도,강릉시,2014
강원특별자치도,강릉시,2015
강원특별자치도,강릉시,2016
강원특별자치도,강릉시,2017
강원특별자치도,강릉시,2018
강원특별자치도,강릉시,2019
강원특별자치도,강릉시,2020
강원특별자치도,강릉시,2021
강원특별자치도,강릉시,2022
강원특별자치도,강릉시,2023
강원특별자치도,강릉시,2024
강원특별자치도,강릉시,2025
강원특별자치도,고성군,2008
강원특별자치도,고성군,2009
강원특별자치도,고성군,2010
강원특별자치도,고성군,2011
강원특별자치도,고성군,2012
강원특별자치도,고성군,2013
강원특별자치도,고성군,2014
강원특별자치도,고성군,2015
강원특별자치도,고성군,2016
강원특별자치도,고성군,2017
강원특별자치도,고성군,2018
강원특별자치도,고성군,2019
강원특별자치도,고성군,2020
강원특별자치도,고성군,2021
강원특별자치도,고성군,2022
강원특별자치도,고성군,2023
강원특별자치도,고성군,2024
강원특별자치도,고성군,2025
강원특별자치도,동해시,2008
강원특별자치도,동해시,2009
강원특별자치도,동해시,2010
강원특별자치도,동해시,2011
강원특별자치도,동해시,2012
강원특별자치도,동해시,2013
강원특별자치도,동해시,2014
강원특별자치도,동해시,2015
강원특별자치도,동해시,2016
강원특별자치도,동해시,2017
강원특별자치도,동해시,2018
강원특별자치도,동해시,2019
강원특별자치도,동해시,2020
강원특별자치도,동해시,2021
강원특별자치도,동해시,2022
강원특별자치도,동해시,2023
강원특별자치도,동해시,2024
강원특별자치도,동해시,2025
강원특별자치도,삼척시,2008
강원특별자치도,삼척시,2009
강원특별자치도,삼척시,2010
강원특별자치도,삼척시,2011
강원특별자치도,삼척시,2012
강원특별자치도,삼척시,2013
강원특별자치도,삼척시,2014
강원특별자치도,삼척시,2015
강원특별자치도,삼척시,2016
강원특별자치도,삼척시,2017
강원특별자치도,삼척시,2018
강원특별자치도,삼척시,2019
강원특별자치도,삼척시,2020
강원특별자치도,삼척시,2021
강원특별자치도,삼척시,2022
강원특별자치도,삼척시,2023
강원특별자치도,삼척시,2024
강원특별자치도,삼척시,2025
강원특별자치도,속초시,2008
강원특별자치도,속초시,2009
강원특별자치도,속초시,2010
강원특별자치도,속초시,2011
강원특별자치도,속초시,2012
강원특별자치도,속초시,2013
강원특별자치도,속초시,2014
강원특별자치도,속초시,2015
강원특별자치도,속초시,2016
강원특별자치도,속초시,2017
강원특별자치도,속초시,2018
강원특별자치도,속초시,2019
강원특별자치도,속초시,2020
강원특별자치도,속초시,2021
강원특별자치도,속초시,2022
강원특별자치도,속초시,2023
강원특별자치도,속초시,2024
강원특별자치도,속초시,2025
강원특별자치도,양구군,2008
강원특별자치도,양구군,2009
강원특별자치도,양구군,2010
